"","X","workerid","item","slide_number","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","target","obj2","obj3","utterance","itemCode","ambiguous","uttFeat","q1Feat","q2Feat","targetOC27","obj2OC27","obj3OC27","DataPost_1","DataPost_2","DataPost_3","DataPost_4","DataPost_5","DataPost_6","DataPost_7","DataPost_8","DataPost_9","Post1_1","Post1_2","Post1_3","Post1_4","Post1_5","Post1_6","Post1_7","Post1_8","Post1_9","Post2_1","Post2_2","Post2_3","Post2_4","Post2_5","Post2_6","Post2_7","Post2_8","Post2_9","CCode","logLik"
"11",11,0,1008,16,"English","blue things",0.5,"red things",0.85,"green things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,322,221,212,"striped",212212,"True",2,3,1,15,5,11,0.33333,0.33333,0.33333,NA,NA,NA,0.27027,0.45946,0.27027,0.33333,0.08477,0.5819,0.26788,0.39879,0.33333,0.06281,0.60386,0.33333,0.33333,0.26553,0.40113,0.32617,0.34049,0.33333,0.26383,0.40284,0.33333,212212,2.64600721144633
"12",12,0,1718,17,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.35,"polka-dotted things",0.75,233,223,321,"green",212112,"True",3,1,2,26,23,6,0.33333,0.33333,0.33333,0.3125,0.21875,0.46875,NA,NA,NA,0.33333,0.39879,0.26788,0.33333,0.08477,0.5819,0.26788,0.33333,0.39879,0.33333,0.33878,0.32789,0.33333,0.27266,0.39401,0.32789,0.33333,0.33878,212112,2.2486867616261
"13",13,0,1531,18,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.5,"green things",0.75,223,221,121,"striped",322112,"True",2,1,3,23,5,4,0.33333,0.33333,0.33333,NA,NA,NA,0.28571,0.28571,0.42857,0.09524,0.57143,0.33333,0.33333,0.33333,0.33333,0.05556,0.33333,0.61111,0.28403,0.38264,0.33333,0.33333,0.33333,0.33333,0.24743,0.33333,0.41924,322112,2.68730552293499
"14",14,0,652,19,"English","blue things",0.5,"red things",0.75,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,133,311,"cloud",212211,"True",1,3,2,10,25,3,NA,NA,NA,0.33333,0.33333,0.33333,0.28571,0.42857,0.28571,0.39879,0.33333,0.26788,0.60386,0.33333,0.06281,0.25142,0.6862,0.06238,0.33783,0.33333,0.32884,0.40601,0.33333,0.26065,0.32736,0.42625,0.24638,212211,2.80547387062305
"15",15,0,1148,20,"English","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0.5,"red things",0.75,"green things",0.3,232,333,333,"polka-dotted",321212,"True",2,1,3,17,27,27,0.33333,0.33333,0.33333,NA,NA,NA,0.32258,0.48387,0.19355,0.33333,0.61111,0.05556,0.33333,0.33333,0.33333,0.33333,0.61111,0.05556,0.33333,0.4177,0.24896,0.33333,0.33333,0.33333,0.33333,0.4177,0.24896,321212,2.64593310336666
"16",16,1,552,6,"english","solid things",0.4,"striped things",0.6,"polka-dotted things",0.65,"blue things",0,"red things",0.5,"green things",1,133,131,331,"cloud",213212,"True",1,2,3,25,7,9,NA,NA,NA,0.24242,0.36364,0.39394,0,0.33333,0.66667,0.39879,0.33333,0.26788,0.33333,0.33333,0.33333,0.08477,0.33333,0.5819,0.53779,0.33333,0.12888,0.33333,0.33333,0.33333,0.05457,0.33333,0.6121,213212,1.82578829964952
"17",17,1,1859,7,"english","solid things",0,"striped things",0.6,"polka-dotted things",0.95,"blue things",0.5,"red things",0.5,"green things",0.5,133,313,313,"cloud",123212,"False",1,2,3,25,21,21,NA,NA,NA,0,0.3871,0.6129,0.33333,0.33333,0.33333,0.44858,0.33333,0.21809,0.21809,0.33333,0.44858,0.33333,0.33333,0.33333,0.58206,0.33333,0.0846,0.0846,0.33333,0.58206,0.33333,0.33333,0.33333,123212,2.01522448081835
"18",18,1,1690,8,"english","clouds",1,"circles",1,"squares",0.4,"blue things",1,"red things",0.5,"green things",0.05,211,123,123,"solid",121212,"False",2,1,3,2,22,22,0.41667,0.41667,0.16667,NA,NA,NA,0.64516,0.32258,0.03226,0.21809,0.44858,0.33333,0.44858,0.21809,0.33333,0.44858,0.33333,0.21809,0.05074,0.61593,0.33333,0.61593,0.05074,0.33333,0.61593,0.33333,0.05074,121212,2.07237712495952
"19",19,1,1417,9,"english","clouds",0,"circles",0,"squares",1,"solid things",1,"striped things",0.5,"polka-dotted things",0.5,313,333,123,"green",322111,"True",3,1,2,21,27,22,0,0,1,0.5,0.25,0.25,NA,NA,NA,0.09524,0.33333,0.57143,0.84615,0.07692,0.07692,0.33333,0.33333,0.33333,0.05423,0.33333,0.61244,0.91521,0.04239,0.04239,0.33333,0.33333,0.33333,322111,1.92561750899777
"20",20,1,1733,10,"english","solid things",0,"striped things",1,"polka-dotted things",0.5,"clouds",0,"circles",1,"squares",0.5,223,213,112,"green",212112,"True",3,2,1,23,20,10,0,0.66667,0.33333,0,0.66667,0.33333,NA,NA,NA,0.26788,0.39879,0.33333,0.08477,0.5819,0.33333,0.33333,0.26788,0.39879,0.14641,0.52026,0.33333,0.0578,0.60886,0.33333,0.33333,0.14641,0.52026,212112,1.70625774239791
"21",21,1,733,11,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",1,"blue things",0.75,"red things",0.5,"green things",0.5,131,132,221,"cloud",212122,"True",1,2,3,7,16,5,NA,NA,NA,0.25,0.25,0.5,0.42857,0.28571,0.28571,0.39879,0.26788,0.33333,0.33333,0.26788,0.39879,0.60386,0.06281,0.33333,0.54624,0.12043,0.33333,0.33333,0.12043,0.54624,0.63238,0.03429,0.33333,212122,2.384452921609
"22",22,1,341,12,"english","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",1,"circles",0.5,"squares",0,132,332,222,"polka-dotted",213211,"True",2,3,1,16,18,14,0.66667,0.33333,0,NA,NA,NA,0.33333,0.33333,0.33333,0.6862,0.25142,0.06238,0.33333,0.26788,0.39879,0.33333,0.33333,0.33333,0.85782,0.08518,0.057,0.33333,0.10465,0.56201,0.33333,0.33333,0.33333,213211,1.80988245494259
"23",23,1,1919,13,"english","clouds",1,"circles",0.2,"squares",0.5,"solid things",1,"striped things",0.55,"polka-dotted things",0,113,231,232,"green",111212,"False",3,1,2,19,8,17,0.58824,0.11765,0.29412,0.64516,0.35484,0,NA,NA,NA,0.44858,0.21809,0.33333,0.44858,0.33333,0.21809,0.24649,0.24649,0.50701,0.58557,0.0811,0.33333,0.58557,0.33333,0.0811,0.10845,0.10845,0.78309,111212,1.88088317283707
"24",24,1,2300,14,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,132,132,131,"red",213232,"False",3,2,1,16,16,7,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.26788,0.39879,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.12621,0.54045,0.33333,213232,2.19722457733622
"25",25,1,1196,15,"english","blue things",0.5,"red things",0,"green things",0.7,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,222,323,"circle",212232,"True",1,3,2,23,14,24,NA,NA,NA,0.33333,0.33333,0.33333,0.41667,0,0.58333,0.33333,0.39879,0.26788,0.33333,0.33333,0.33333,0.33333,0.06281,0.60386,0.33333,0.54279,0.12388,0.33333,0.33333,0.33333,0.33333,0.06418,0.60249,213222,1.85060898862663
"26",26,1,267,16,"english","solid things",0.5,"striped things",0.2,"polka-dotted things",0.8,"clouds",0,"circles",0.5,"squares",0.35,233,123,232,"green",212222,"True",3,2,1,26,22,17,0,0.58824,0.41176,0.33333,0.13333,0.53333,NA,NA,NA,0.06281,0.60386,0.33333,0.33333,0.06281,0.60386,0.33333,0.26788,0.39879,0.05417,0.61249,0.33333,0.33333,0.05417,0.61249,0.33333,0.12707,0.5396,212222,1.75333321649177
"27",27,1,178,17,"english","clouds",0.5,"circles",0.5,"squares",0.5,"blue things",0,"red things",0.5,"green things",1,323,321,321,"striped",323212,"True",2,1,3,24,6,6,0.33333,0.33333,0.33333,NA,NA,NA,0,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.05556,0.33333,0.61111,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.04291,0.33333,0.62375,323212,1.79313404162268
"28",28,1,1095,18,"english","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0,"red things",0.5,"green things",1,123,321,221,"cloud",113212,"False",1,2,3,22,6,5,NA,NA,NA,0.33333,0.33333,0.33333,0,0.33333,0.66667,0.50701,0.24649,0.24649,0.33333,0.33333,0.33333,0.21809,0.33333,0.44858,0.77478,0.11261,0.11261,0.33333,0.33333,0.33333,0.0846,0.33333,0.58206,113212,1.99925956007117
"29",29,1,2090,19,"english","solid things",0,"striped things",1,"polka-dotted things",0,"clouds",1,"circles",0,"squares",0,121,211,331,"blue",321111,"True",3,2,1,4,2,9,1,0,0,0,1,0,NA,NA,NA,0.84615,0.07692,0.07692,0.07692,0.84615,0.07692,0.33333,0.33333,0.33333,0.86102,0.06949,0.06949,0.06949,0.86102,0.06949,0.33333,0.33333,0.33333,321111,0.334108169326332
"30",30,1,676,20,"english","clouds",0,"circles",0.5,"squares",0.5,"blue things",0,"red things",0,"green things",1,333,132,321,"polka-dotted",212211,"True",2,1,3,27,16,6,0,0.5,0.5,NA,NA,NA,0,0,1,0.06281,0.33333,0.60386,0.33333,0.26788,0.39879,0.25142,0.06238,0.6862,0.06694,0.33333,0.59973,0.33333,0.13351,0.53315,0.11128,0.06325,0.82547,212211,1.17809881022477
"31",31,2,1527,6,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"blue things",0.5,"red things",0.5,"green things",0.5,213,212,222,"circle",322112,"True",1,2,3,20,11,14,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.57143,0.09524,0.33333,0.33333,0.05556,0.61111,0.33333,0.33333,0.33333,0.6289,0.03776,0.33333,0.33333,0.02002,0.64665,322112,2.83035462180969
"32",32,2,392,7,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,112,312,322,"cloud",122132,"False",1,3,2,10,12,15,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.44858,0.33333,0.21809,0.43602,0.23065,0.33333,0.33333,0.33333,0.33333,0.35271,0.33333,0.31396,0.35115,0.31552,0.33333,0.33333,0.33333,0.33333,123221,2.23046083717843
"33",33,2,1156,8,"English","solid things",0.05,"striped things",0.05,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,232,222,231,"red",212232,"True",3,2,1,17,14,8,0.33333,0.33333,0.33333,0.05,0.05,0.9,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.06281,0.60386,0.26788,0.39879,0.33333,0.33333,0.33333,0.33333,0.33333,0.05572,0.61094,0.32526,0.34141,0.33333,213222,1.74589973234898
"34",34,2,1981,9,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,211,211,211,"circle",323232,"False",1,3,2,2,2,2,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323232,2.19722457733622
"35",35,2,646,10,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,223,221,332,"green",112121,"False",3,2,1,23,5,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.43602,0.23065,0.33333,0.43602,0.23065,0.24649,0.24649,0.50701,0.33333,0.35438,0.31229,0.33333,0.35438,0.31229,0.3177,0.3177,0.3646,112121,2.26369709702065
"36",36,2,1284,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,223,111,332,"green",111111,"False",3,1,2,23,1,18,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.24649,0.50701,0.24649,0.24649,0.50701,0.24649,0.24649,0.24649,0.50701,0.3172,0.36561,0.3172,0.3172,0.36561,0.3172,0.3172,0.3172,0.36561,111111,2.32004005852147
"37",37,2,307,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"clouds",0.95,"circles",0.5,"squares",0.05,131,331,211,"polka-dotted",213211,"True",2,3,1,7,9,2,0.63333,0.33333,0.03333,NA,NA,NA,0.33333,0.33333,0.33333,0.6862,0.25142,0.06238,0.26788,0.33333,0.39879,0.33333,0.33333,0.33333,0.62498,0.32244,0.05258,0.32509,0.33333,0.34157,0.33333,0.33333,0.33333,213211,1.8898122973692
"38",38,2,2250,13,"English","clouds",0.95,"circles",0,"squares",0.05,"blue things",0.5,"red things",0.5,"green things",0.5,131,231,331,"polka-dotted",323211,"True",2,1,3,7,8,9,0.95,0,0.05,NA,NA,NA,0.33333,0.33333,0.33333,0.84615,0.07692,0.07692,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.84864,0.07568,0.07568,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,323211,1.38556113697119
"39",39,2,437,14,"English","solid things",0.95,"striped things",0.05,"polka-dotted things",0.05,"blue things",0.5,"red things",0.05,"green things",0.95,213,232,222,"circle",321112,"True",1,2,3,20,17,14,NA,NA,NA,0.90476,0.04762,0.04762,0.33333,0.03333,0.63333,0.33333,0.33333,0.33333,0.84615,0.07692,0.07692,0.33333,0.05556,0.61111,0.33333,0.33333,0.33333,0.85001,0.07499,0.07499,0.33333,0.05405,0.61262,321211,1.16987665840609
"40",40,2,1114,15,"English","solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,"clouds",0.9,"circles",0.5,"squares",0,122,312,312,"red",321212,"True",3,2,1,13,12,12,0.64286,0.35714,0,0.03448,0.62069,0.34483,NA,NA,NA,0.61111,0.33333,0.05556,0.05556,0.61111,0.33333,0.33333,0.33333,0.33333,0.61171,0.33333,0.05496,0.05496,0.61171,0.33333,0.33333,0.33333,0.33333,321212,1.4931284328476
"41",41,2,1525,16,"English","blue things",0.95,"red things",0.5,"green things",0.05,"clouds",0.95,"circles",0.5,"squares",0.1,111,113,313,"solid",322112,"True",2,3,1,1,19,21,0.6129,0.32258,0.06452,NA,NA,NA,0.63333,0.33333,0.03333,0.57143,0.33333,0.09524,0.33333,0.33333,0.33333,0.61111,0.33333,0.05556,0.6289,0.33333,0.03776,0.33333,0.33333,0.33333,0.64665,0.33333,0.02002,322112,1.62353460737412
"42",42,2,1427,17,"English","solid things",0.05,"striped things",0.95,"polka-dotted things",0.5,"blue things",0,"red things",0,"green things",0.95,123,121,112,"cloud",322111,"True",1,2,3,22,4,10,NA,NA,NA,0.03333,0.63333,0.33333,0,0,1,0.33333,0.33333,0.33333,0.09524,0.57143,0.33333,0.07692,0.07692,0.84615,0.33333,0.33333,0.33333,0.10178,0.56489,0.33333,0.08265,0.08265,0.83471,322111,0.966060688483753
"43",43,2,185,18,"English","solid things",0.05,"striped things",0.5,"polka-dotted things",0.9,"clouds",0.5,"circles",0.5,"squares",0.5,331,311,311,"blue",323212,"True",3,2,1,9,3,3,0.33333,0.33333,0.33333,0.03448,0.34483,0.62069,NA,NA,NA,0.33333,0.33333,0.33333,0.05556,0.33333,0.61111,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.05197,0.33333,0.61469,0.33333,0.33333,0.33333,323212,1.88278716371423
"44",44,2,1630,19,"English","clouds",0,"circles",0.95,"squares",0,"blue things",0.95,"red things",0.5,"green things",0.05,221,123,313,"striped",211112,"True",2,1,3,5,22,21,0,1,0,NA,NA,NA,0.63333,0.33333,0.03333,0.06238,0.6862,0.25142,0.26788,0.39879,0.33333,0.5819,0.33333,0.08477,0.05663,0.61004,0.33333,0.33333,0.33333,0.33333,0.57536,0.33333,0.09131,211211,1.16797450032064
"45",45,2,1249,20,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.5,"squares",0.5,323,122,111,"green",112112,"False",3,2,1,24,13,1,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.21809,0.33333,0.44858,0.23065,0.43602,0.33333,0.24649,0.24649,0.50701,0.30959,0.33333,0.35707,0.31153,0.35514,0.33333,0.31712,0.31712,0.36576,112112,2.27289753103175
"46",46,3,1501,6,"English","clouds",0.8,"circles",0.55,"squares",0.5,"blue things",0.8,"red things",0.1,"green things",0.5,121,321,322,"striped",322112,"True",2,1,3,4,6,15,0.43243,0.2973,0.27027,NA,NA,NA,0.57143,0.07143,0.35714,0.61111,0.33333,0.05556,0.33333,0.33333,0.33333,0.57143,0.09524,0.33333,0.62055,0.33333,0.04611,0.33333,0.33333,0.33333,0.58565,0.08102,0.33333,322112,2.20085618218107
"47",47,3,1592,7,"English","blue things",0.55,"red things",0.95,"green things",0.1,"clouds",0.05,"circles",0.95,"squares",0.5,232,232,133,"polka-dotted",322121,"True",2,3,1,17,17,25,0.03333,0.63333,0.33333,NA,NA,NA,0.34375,0.59375,0.0625,0.09524,0.57143,0.33333,0.33333,0.33333,0.33333,0.33333,0.57143,0.09524,0.12148,0.54518,0.33333,0.33333,0.33333,0.33333,0.33333,0.54518,0.12148,322121,1.65588740570962
"48",48,3,79,8,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,323,121,112,"square",122111,"False",1,3,2,24,4,10,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.21809,0.33333,0.44858,0.23065,0.43602,0.33333,0.24649,0.24649,0.50701,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122111,2.29186857777106
"49",49,3,1750,9,"English","blue things",0,"red things",0.9,"green things",0.45,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,232,231,321,"circle",212112,"True",1,3,2,17,8,6,NA,NA,NA,0.33333,0.33333,0.33333,0,0.66667,0.33333,0.33333,0.39879,0.26788,0.33333,0.26788,0.39879,0.08477,0.5819,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.09739,0.56928,0.33333,212112,1.83889704322217
"50",50,3,1572,10,"English","blue things",0.95,"red things",0.05,"green things",0.5,"solid things",0.95,"striped things",0,"polka-dotted things",0.5,311,311,322,"square",322121,"True",1,3,2,3,3,15,NA,NA,NA,0.65517,0,0.34483,0.63333,0.03333,0.33333,0.33333,0.33333,0.33333,0.57143,0.09524,0.33333,0.57143,0.09524,0.33333,0.33333,0.33333,0.33333,0.54518,0.12148,0.33333,0.54518,0.12148,0.33333,322121,1.54448325407763
"51",51,3,1491,11,"English","clouds",0.5,"circles",0.5,"squares",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,133,111,121,"green",123211,"False",3,1,2,25,1,4,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.33333,0.33333,0.24649,0.24649,0.50701,0.21809,0.33333,0.44858,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123211,2.25863231792884
"52",52,3,1331,12,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,122,321,312,"cloud",122122,"False",1,3,2,13,6,12,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.44858,0.33333,0.21809,0.23065,0.43602,0.33333,0.23065,0.43602,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,122122,2.26369709702065
"53",53,3,883,13,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,233,131,323,"circle",112122,"False",1,3,2,26,7,24,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.24649,0.50701,0.24649,0.33333,0.23065,0.43602,0.23065,0.33333,0.43602,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,112122,2.26369709702065
"54",54,3,2313,14,"English","blue things",0.5,"red things",0.5,"green things",0.5,"solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,332,232,232,"square",123232,"False",1,3,2,18,17,17,NA,NA,NA,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.21809,0.44858,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,123232,2.19722457733622
"55",55,3,273,15,"English","solid things",0.5,"striped things",0.5,"polka-dotted things",0.5,"clouds",0.5,"circles",0.9,"squares",0.15,233,323,231,"green",212222,"True",3,2,1,26,24,8,0.32258,0.58065,0.09677,0.33333,0.33333,0.33333,NA,NA,NA,0.33333,0.60386,0.06281,0.33333,0.06281,0.60386,0.26788,0.33333,0.39879,0.33333,0.62673,0.03993,0.33333,0.03993,0.62673,0.33333,0.33333,0.33333,212222,2.37201974483011
"56",56,3,1621,16,"English","clouds",0.95,"circles",0.15,"squares",0.5,"solid things",0.05,"striped things",0.9,"polka-dotted things",0.5,132,212,221,"red",211112,"True",3,1,2,16,11,5,0.59375,0.09375,0.3125,0.03448,0.62069,0.34483,NA,NA,NA,0.5819,0.08477,0.33333,0.06238,0.25142,0.6862,0.26788,0.39879,0.33333,0.57533,0.09134,0.33333,0.05699,0.33063,0.61238,0.3313,0.33537,0.33333,211211,1.97864477540021
"57",57,3,419,17,"English","solid things",0.05,"striped things",1,"polka-dotted things",0,"blue things",0.5,"red things",0.05,"green things",0.9,123,132,112,"cloud",321112,"True",1,2,3,22,16,10,NA,NA,NA,0.04762,0.95238,0,0.34483,0.03448,0.62069,0.33333,0.33333,0.33333,0.07692,0.84615,0.07692,0.33333,0.05556,0.61111,0.33333,0.33333,0.33333,0.08606,0.82787,0.08606,0.33333,0.06278,0.60389,321211,1.06541444889016
